type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,5120,8,128,2725.64784,83.896754,2483525573,43755709,33554432002,18503400626,14639.75145,5.371108928730866,2.72564784,228.67300632311137,0.03248812033895852,30.780481898204428,98.48501044801151,0.8518733319756067,0.13421995357492725
Parallel,6144,8,128,4771.392698,142.330209,4290071230,75305930,57982058498,31972340871,25542.947952,5.353352693587075,4.771392698,679.1133199274138,0.033523401191661285,29.82990879364422,97.2161583267779,1.4640591795612599,0.1341807047319216
Parallel,7168,8,128,7670.35603,223.029466,6812607444,113071102,92073361410,50767558193,41376.450127,5.3943324097564735,7.67035603,1710.7154094007801,0.034391671053904595,29.076807533795797,96.03033918935311,2.322489620287911,0.134192143299485
Parallel,8192,8,128,11709.3088,332.219712,10193578071,204157603,137438953474,75781302048,62302.208832,5.320741804332634,11.7093088,3890.063197255066,0.03524567741483082,28.37227351968034,93.90064320244078,3.53799186746534,0.13451310277756076
Parallel,1024,8,256,43.012529,1.560283,19980732,6780034,268435458,133008948,113.591071,2.640883334248958,0.043012529,0.067111717785707,0.027567133013690463,36.275081616335555,49.92693287111762,0.03125132889752603,0.1502209610739873
Parallel,2048,8,256,265.540402,9.086734,159936034,58157474,2147483650,1061939978,920.639072,3.467039535475284,0.26554040199999995,2.4128949992270674,0.029222865113031807,34.21977948199386,64.69775994388984,0.14044897393481034,0.15060741408494183
Parallel,3072,8,256,826.815718,28.621002,538870617,193092328,7247757314,3583876167,3113.594459,3.7657659272994133,0.826815718,23.664294318509437,0.028888426687507306,34.615938445427574,70.12694271978027,0.408131324280975,0.1503597200042431
Parallel,4096,8,256,1977.818798,66.324695,1287499820,479168077,17179869186,8491816034,7472.435349,3.7781192880542136,1.977818798,131.1782285426166,0.029820247164348057,33.53426262662107,69.49016442304034,0.9544472307797449,0.151616546430709
Parallel,5120,8,256,4494.169235,149.953106,2575436236,975274168,33554432002,16587670379,14639.75145,3.2574989246038037,4.494169235,673.9146356778939,0.029970497810162068,33.36614581226378,59.72971687613806,2.5105276542823534,0.15526208184486856
Parallel,6144,8,256,6853.807075,218.587313,4327653854,1575053700,57982058498,28661958434,25542.947952,3.7268262255543574,6.853807075,1498.1552723446393,0.03135500858185671,31.89283132834608,67.67865842911839,3.2297820032725997,0.15098946793762558
